date,NO2
2021-04-06,4.781356483363197e-05
2021-04-09,3.883402405335801e-05
2021-04-03,4.483600059757009e-05
2020-07-15,4.0337166865356266e-05
2020-07-19,3.583833313314244e-05
2020-07-20,2.4163224225048907e-05
2020-07-14,1.686599716776982e-05
2020-07-16,2.1104354345879983e-05
2020-07-18,2.5342711523990147e-05
2020-07-17,1.19226606329903e-05
2020-07-13,1.4093015579419443e-05
2021-05-04,1.8370923498878252e-05
2021-04-28,2.2471410375146658e-05
2021-04-27,2.6571897251415063e-05
2021-05-02,3.559961260179989e-05
2021-05-03,1.90479127013532e-05
2021-05-01,2.961576683446765e-05
2021-04-30,3.8676360418321565e-05
2021-04-29,4.773695400217548e-05
2020-10-17,5.322688684827881e-05
