Hari_ke,Prediksi_NO2
1,2.531343752707471e-05
2,3.295042533864034e-05
3,2.7602035273351556e-05
4,3.9241269845543655e-05
5,3.9241269845543655e-05
6,3.9241269845543655e-05
7,3.9241269845543655e-05
