date,feature_index,NO2
2020-05-31 00:00:00+00:00,0,1.6305584722431377e-05
2020-06-01 00:00:00+00:00,0,1.6305584722431377e-05
2020-06-02 00:00:00+00:00,0,1.6305584722431377e-05
2020-06-03 00:00:00+00:00,0,1.6305584722431377e-05
2020-06-04 00:00:00+00:00,0,2.8431577447918244e-05
2020-06-05 00:00:00+00:00,0,1.730676331135328e-05
2020-06-06 00:00:00+00:00,0,2.101172352316401e-05
2020-06-07 00:00:00+00:00,0,2.4716683734974747e-05
2020-06-08 00:00:00+00:00,0,2.842164394678548e-05
2020-06-09 00:00:00+00:00,0,5.980204514344223e-05
2020-06-10 00:00:00+00:00,0,3.29461763612926e-05
2020-06-11 00:00:00+00:00,0,6.946231951587833e-05
2020-06-12 00:00:00+00:00,0,3.754280260181986e-05
2020-06-13 00:00:00+00:00,0,3.528413435560651e-05
2020-06-14 00:00:00+00:00,0,4.002387595392065e-05
2020-06-15 00:00:00+00:00,0,4.476361755223479e-05
2020-06-16 00:00:00+00:00,0,2.2981967276791693e-05
2020-06-17 00:00:00+00:00,0,2.8545226086862385e-05
2020-06-18 00:00:00+00:00,0,2.6615774004312694e-05
2020-06-19 00:00:00+00:00,0,3.5639418456412386e-05
2020-06-20 00:00:00+00:00,0,2.922912199210259e-05
2020-06-21 00:00:00+00:00,0,2.28188255277928e-05
2020-06-22 00:00:00+00:00,0,2.9734444979112595e-05
2020-06-23 00:00:00+00:00,0,3.528559682308696e-05
2020-06-24 00:00:00+00:00,0,1.8164659195463173e-05
2020-06-25 00:00:00+00:00,0,4.96904303872725e-05
2020-06-26 00:00:00+00:00,0,4.626004374586046e-05
2020-06-27 00:00:00+00:00,0,3.738655686902348e-05
2020-06-28 00:00:00+00:00,0,2.3868325115472544e-05
2020-06-29 00:00:00+00:00,0,2.3494685592595488e-05
2020-06-30 00:00:00+00:00,0,3.167413524352014e-05
2020-07-01 00:00:00+00:00,0,3.9853584894444793e-05
2020-07-02 00:00:00+00:00,0,2.052628406090662e-05
2020-07-03 00:00:00+00:00,0,2.7545460397959687e-05
2020-07-04 00:00:00+00:00,0,2.3623560991836712e-05
2020-07-05 00:00:00+00:00,0,5.738553227274679e-06
2020-07-06 00:00:00+00:00,0,1.1988441201538079e-05
2020-07-07 00:00:00+00:00,0,1.823832917580148e-05
2020-07-08 00:00:00+00:00,0,3.953920531785116e-05
2020-07-09 00:00:00+00:00,0,9.449944263906218e-05
2020-07-10 00:00:00+00:00,0,3.567706517060287e-05
2020-07-11 00:00:00+00:00,0,3.901401214534417e-05
2020-07-12 00:00:00+00:00,0,2.5514515073155053e-05
2020-07-13 00:00:00+00:00,0,1.4093015579419443e-05
2020-07-14 00:00:00+00:00,0,1.686599716776982e-05
2020-07-15 00:00:00+00:00,0,1.5218218322843313e-05
2020-07-16 00:00:00+00:00,0,1.3570439477916807e-05
2020-07-17 00:00:00+00:00,0,1.19226606329903e-05
2020-07-18 00:00:00+00:00,0,2.5342711523990147e-05
2020-07-19 00:00:00+00:00,0,3.583833313314244e-05
2020-07-20 00:00:00+00:00,0,2.4163224225048907e-05
2020-07-21 00:00:00+00:00,0,1.957483618753031e-05
2020-07-22 00:00:00+00:00,0,3.2009382266551256e-05
2020-07-23 00:00:00+00:00,0,3.122043563053012e-05
2020-07-24 00:00:00+00:00,0,2.314168159500696e-05
2020-07-25 00:00:00+00:00,0,3.087793811573647e-05
2020-07-26 00:00:00+00:00,0,1.5376091596408514e-05
2020-07-27 00:00:00+00:00,0,4.547862226900179e-05
2020-07-28 00:00:00+00:00,0,3.3778658689698204e-05
2020-07-29 00:00:00+00:00,0,3.3723912565619685e-05
2020-07-30 00:00:00+00:00,0,3.3669166441541165e-05
2020-07-31 00:00:00+00:00,0,3.302231471025152e-05
2020-08-01 00:00:00+00:00,0,3.4164889257226605e-05
2020-08-02 00:00:00+00:00,0,3.530746380420169e-05
2020-08-03 00:00:00+00:00,0,3.093880968663143e-05
2020-08-04 00:00:00+00:00,0,6.794188084313646e-05
2020-08-05 00:00:00+00:00,0,9.062695608008652e-05
2020-08-06 00:00:00+00:00,0,3.969694807892665e-05
2020-08-07 00:00:00+00:00,0,5.604451143881306e-05
2020-08-08 00:00:00+00:00,0,4.224567237542942e-05
2020-08-09 00:00:00+00:00,0,1.6168979982467135e-05
2020-08-10 00:00:00+00:00,0,2.3225812356031383e-05
2020-08-11 00:00:00+00:00,0,3.028264472959563e-05
2020-08-12 00:00:00+00:00,0,1.886181598820258e-05
2020-08-13 00:00:00+00:00,0,3.788414778682636e-05
2020-08-14 00:00:00+00:00,0,4.205717777949758e-05
2020-08-15 00:00:00+00:00,0,2.3475210582546424e-05
2020-08-16 00:00:00+00:00,0,1.9766157492995266e-05
2020-08-17 00:00:00+00:00,0,1.6543255696888082e-05
2020-08-18 00:00:00+00:00,0,1.33203539007809e-05
2020-08-19 00:00:00+00:00,0,2.8222771106811703e-05
2020-08-20 00:00:00+00:00,0,2.7413183488533832e-05
2020-08-21 00:00:00+00:00,0,1.8607048332341947e-05
2020-08-22 00:00:00+00:00,0,4.614894351107068e-06
2020-08-23 00:00:00+00:00,0,3.175748497596942e-05
2020-08-24 00:00:00+00:00,0,1.881111029433669e-05
2020-08-25 00:00:00+00:00,0,2.1963290237181354e-05
2020-08-26 00:00:00+00:00,0,2.211410719610285e-05
2020-08-27 00:00:00+00:00,0,2.362476425332716e-05
2020-08-28 00:00:00+00:00,0,2.6401356990390923e-05
2020-08-29 00:00:00+00:00,0,2.917794972745469e-05
2020-08-30 00:00:00+00:00,0,2.7595300707616843e-05
2020-08-31 00:00:00+00:00,0,2.32366555792396e-05
2020-09-01 00:00:00+00:00,0,2.233877194157685e-05
2020-09-02 00:00:00+00:00,0,2.7140533120473265e-05
2020-09-03 00:00:00+00:00,0,3.194229429936968e-05
2020-09-04 00:00:00+00:00,0,2.849377597158309e-05
2020-09-05 00:00:00+00:00,0,2.7351507014827803e-05
2020-09-06 00:00:00+00:00,0,2.44789644057164e-05
2020-09-07 00:00:00+00:00,0,2.60923716268735e-05
2020-09-08 00:00:00+00:00,0,3.042449407075765e-05
2020-09-09 00:00:00+00:00,0,1.910244463942945e-05
2020-09-10 00:00:00+00:00,0,3.348642712808214e-05
2020-09-11 00:00:00+00:00,0,2.304106237716041e-05
2020-09-12 00:00:00+00:00,0,2.8580140678968743e-05
2020-09-13 00:00:00+00:00,0,3.530067624524236e-05
2020-09-14 00:00:00+00:00,0,3.36075245286338e-05
2020-09-15 00:00:00+00:00,0,2.938102261396125e-05
2020-09-16 00:00:00+00:00,0,2.7142825274495408e-05
2020-09-17 00:00:00+00:00,0,3.012323941220529e-05
2020-09-18 00:00:00+00:00,0,2.4787694201222618e-05
2020-09-19 00:00:00+00:00,0,1.9452148990239948e-05
2020-09-20 00:00:00+00:00,0,2.2916805392014797e-05
2020-09-21 00:00:00+00:00,0,2.0680261513916776e-05
2020-09-22 00:00:00+00:00,0,4.660011290980037e-05
2020-09-23 00:00:00+00:00,0,2.367035631323233e-05
2020-09-24 00:00:00+00:00,0,2.9846057259419467e-05
2020-09-25 00:00:00+00:00,0,3.239790112274932e-05
2020-09-26 00:00:00+00:00,0,3.2758423913037404e-05
2020-09-27 00:00:00+00:00,0,3.022638520633336e-05
2020-09-28 00:00:00+00:00,0,1.6210050489462446e-05
2020-09-29 00:00:00+00:00,0,3.580267002689652e-05
2020-09-30 00:00:00+00:00,0,9.925049198500346e-06
2020-10-01 00:00:00+00:00,0,2.122187333952752e-05
2020-10-02 00:00:00+00:00,0,1.794606760086026e-05
2020-10-03 00:00:00+00:00,0,1.8026702491624743e-05
2020-10-04 00:00:00+00:00,0,3.557423451638897e-05
2020-10-05 00:00:00+00:00,0,5.312176654115319e-05
2020-10-06 00:00:00+00:00,0,4.160741627856624e-05
2020-10-07 00:00:00+00:00,0,5.654278902511578e-05
2020-10-08 00:00:00+00:00,0,4.466655809665099e-05
2020-10-09 00:00:00+00:00,0,3.253277827752754e-05
2020-10-10 00:00:00+00:00,0,2.0398998458404094e-05
2020-10-11 00:00:00+00:00,0,8.265218639280647e-06
2020-10-12 00:00:00+00:00,0,2.508808574930299e-05
2020-10-13 00:00:00+00:00,0,2.6519535822444595e-05
2020-10-14 00:00:00+00:00,0,3.420431494305376e-05
2020-10-15 00:00:00+00:00,0,5.76873298996361e-05
2020-10-16 00:00:00+00:00,0,2.19553603528766e-05
2020-10-17 00:00:00+00:00,0,2.8082270243127524e-05
2020-10-18 00:00:00+00:00,0,3.4209180133378446e-05
2020-10-19 00:00:00+00:00,0,4.033609002362937e-05
2020-10-20 00:00:00+00:00,0,4.6462999913880296e-05
2020-10-21 00:00:00+00:00,0,5.2589909804131224e-05
2020-10-22 00:00:00+00:00,0,5.871681969438214e-05
2020-10-23 00:00:00+00:00,0,6.433971248043235e-05
2020-10-24 00:00:00+00:00,0,3.682880924316123e-05
2020-10-25 00:00:00+00:00,0,1.937842262123013e-05
2020-10-26 00:00:00+00:00,0,2.3313711305187702e-05
2020-10-27 00:00:00+00:00,0,2.724899998914528e-05
2020-10-28 00:00:00+00:00,0,3.1184288673102856e-05
2020-10-29 00:00:00+00:00,0,3.0200388512942784e-05
2020-10-30 00:00:00+00:00,0,2.9216488352782715e-05
2020-10-31 00:00:00+00:00,0,2.8232588192622643e-05
2020-11-01 00:00:00+00:00,0,2.724868803246257e-05
2020-11-02 00:00:00+00:00,0,2.6264787872302502e-05
2020-11-03 00:00:00+00:00,0,2.528088771214243e-05
