NO2_t-1,NO2_t-2,NO2_t-3,NO2
-1.3328052016450382,-1.3301957668569444,-1.329157417776767,1.6305584722431377e-05
-1.3328052016450382,-1.3301957668569444,-1.329157417776767,2.8431577447918244e-05
-0.5592841257063128,-1.3301957668569444,-1.329157417776767,1.730676331135328e-05
-1.2689396892006877,-0.5575838449786426,-1.329157417776767,2.101172352316401e-05
-1.0325990551405646,-1.266405318417656,-0.5569224791310375,2.4716683734974747e-05
-0.7962584210804414,-1.0303424661191198,-1.2653980948337062,2.842164394678548e-05
-0.5599177870203184,-0.7942796138205834,-1.0294504255068921,5.980204514344223e-05
1.4418483567122313,-0.5582167615220471,-0.7935027561800776,3.29461763612926e-05
-0.27129637179934996,1.4411966165597616,-0.5575550868532634,6.946231951587833e-05
2.058080445547667,-0.2699345760127642,1.4408827104781408,3.754280260181986e-05
0.02192393236490667,2.0567044201453766,-0.2694135638772767,3.528413435560651e-05
-0.12215726012396921,0.02294109315908963,2.056090187192142,4.002387595392065e-05
0.18019241992272433,-0.12097075423337379,0.0233192014467595,4.476361755223479e-05
0.4825420999694179,0.1810235606554298,-0.12052242653554573,2.2981967276791693e-05
-0.9069165561758091,0.48301787554423337,0.1813245352127983,2.8545226086862385e-05
-0.5520344415389892,-0.9048076874399676,0.4831714969611423,2.661577400431269e-05
-0.675114826349803,-0.5503426816907138,-0.9039768994505983,3.5639418456412386e-05
-0.09949357013662026,-0.6732784045975538,-0.549684849049194,2.922912199210259e-05
-0.5084084961481755,-0.09833370189872379,-0.6725605874995331,2.28188255277928e-05
-0.9173234221597306,-0.5067680118328179,-0.09789641957687735,2.9734444979112595e-05
-0.4761737761168014,-0.915202321766912,-0.5061314407321004,3.528559682308696e-05
-0.12206396884096966,-0.47457117871560134,-0.9143664618873232,1.8164659195463173e-05
-1.2142142277607093,-0.120877572599809,-0.47395031752808003,4.96904303872725e-05
0.796825115915568,-1.2117441782703022,-0.12042929036842075,4.626004374586046e-05
0.5779996204842788,0.7969315005468688,-1.2107636256873109,3.738655686902348e-05
0.011956965529320296,0.5783632005481074,0.7969319529927187,2.3868325115472544e-05
-0.8503754972650545,0.012985840947255016,0.5784702997876945,2.3494685592595488e-05
-0.8742100856811948,-0.8483330837750859,0.013368806735894797,3.167413524352014e-05
-0.3524402943080241,-0.8721396583290174,-0.8475298516362606,3.9853584894444793e-05
